       weights:                   circularity   inertiaRatio      convexity      blobColor           area
        (0-255)                           200              0            100            255             --

      FilterBy:          error    circularity   inertiaRatio      convexity      blobColor           area
                             0              1              1              1              1              1

            min              0          0.050          0.050          0.050        250.000          1.000
            max          0.800          1.100          1.100          1.100        255.000        200.000

       Targets:                   circularity   inertiaRatio      convexity      blobColor           area
                                        1.000          1.000          1.000            255             --

         blobNo     TotalError    circularity   inertiaRatio      convexity      blobColor           area       imageXpt       imageYpt
              0         0.2747         0.5516         0.3457         0.8824       254.0000         7.5000       472.8667       475.3556
              1         0.3682         0.5715         0.3696         0.8333       253.0000         2.5000       376.8667       468.3333
              0         0.2599         0.5989         0.2438         0.8696       254.0000        10.0000       473.2000       475.8167
              1         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       376.4444       468.2222
              0         0.3124         0.6430         0.2937         1.0000       253.0000         1.5000       376.4444       468.2222
              1         0.3959         0.6664         0.3074         1.0000       252.0000         6.5000       472.8462       475.5641
              2         0.4778         0.5390         0.1775         0.8000       252.0000         2.0000       444.7500       467.0000
              0         0.2344         0.6430         0.3152         0.9231       254.0000         6.0000       473.0000       475.7500
              1         0.2926         0.6981         0.2500         1.0000       253.0000         2.0000       376.5000       468.0000
              0         0.2528         0.8085         0.8222         1.0000       253.0000         3.0000       376.7778       468.0000
              1         0.2725         0.5989         0.3969         0.8000       254.0000        10.0000       473.0000       475.7000
              0         0.2558         0.8001         0.6283         1.0000       253.0000         3.5000       376.9048       468.0952
              1         0.3598         0.5672         0.3084         0.8889       253.0000         8.0000       473.0000       475.5000
              0         0.2611         0.7854         1.0000         1.0000       253.0000         1.0000       376.5000       468.5000
              1         0.3155         0.6656         0.3433         0.9375       253.0000         7.5000       473.0444       475.6222
              0         0.2218         0.6830         0.3922         0.9130       254.0000        10.5000       473.0317       475.2540
              1         0.2558         0.8001         0.6283         1.0000       253.0000         3.5000       376.9048       468.0952
              2         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       444.5000       466.5000
              0         0.3124         0.6430         0.2937         1.0000       253.0000         1.5000       632.4444       467.2222
              1         0.3603         0.5769         0.1575         0.8667       253.0000         6.5000       473.0513       475.9487
              2         0.3859         0.5390         0.6389         0.8000       253.0000         2.0000       376.6667       467.7500
              0         0.3124         0.6430         0.2937         1.0000       253.0000         1.5000       376.4444       468.2222
              1         0.3334         0.6474         0.2806         0.8750       253.0000         7.0000       473.1905       475.9286
              2         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       444.5556       466.7778
              0         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       632.5000       467.5000
              1         0.4134         0.4878         0.3606         0.7500       253.0000         7.5000       472.9111       475.4222
              2         0.4253         0.6474         0.2458         0.8750       252.0000         3.5000       376.5238       468.2381
              0         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       444.5000       467.5000
              1         0.3811         0.5359         0.4237         0.8333       253.0000        10.0000       473.2500       475.5000
              2         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       376.4444       468.2222
              3         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       424.5556        79.7778
              0         0.2304         0.6449         0.2239         0.9412       254.0000         8.0000       473.3125       475.7917
              1         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       376.4444       468.2222
              0         0.3095         0.6987         0.4465         0.9048       253.0000         9.5000       472.7544       475.6491
              1         0.3334         0.6474         0.5377         0.8750       253.0000         3.5000       444.3810       467.0952
              2         0.5209         0.4624         0.5023         0.7143       252.0000         2.5000       376.8667       467.8667
              0         0.1681         0.8085         0.5141         0.9600       254.0000        12.0000       473.0833       475.6528
              1         0.2926         0.6981         0.2500         1.0000       253.0000         2.0000       376.5000       468.0000
              0         0.2580         0.5390         0.3333         1.0000       254.0000         2.0000       632.3333       467.6667
              1         0.3440         0.6109         0.4286         0.8889       253.0000         8.0000       472.7708       475.4792
              2         0.3682         0.5715         0.3696         0.8333       253.0000         2.5000       376.6667       468.1333
              0         0.1703         0.8061         0.3894         0.9524       254.0000        10.0000       473.1500       476.0000
              1         0.2442         0.8323         0.4725         1.0000       253.0000         4.5000       376.6296       468.0741
              0         0.1609         0.8085         0.8222         1.0000       254.0000         3.0000       376.7778       468.0000
              1         0.3532         0.6252         0.3506         0.8095       253.0000         8.5000       473.0392       475.7255
              2         0.6290         0.2695         0.1111         0.5000       252.0000         1.0000       633.0000       467.3333
              0         0.1523         0.8323         0.4725         1.0000       254.0000         9.0000       472.5556       475.7037
              1         0.3124         0.6430         0.2937         1.0000       253.0000         1.5000       444.5556       466.7778
              2         0.3447         0.8085         0.8222         1.0000       252.0000         3.0000       376.7778       468.0000
              0         0.2205         0.6430         0.2937         1.0000       254.0000         1.5000       376.4444       468.2222
              1         0.4418         0.5390         0.3333         1.0000       252.0000         1.0000       633.0000       467.3333
              2         0.4522         0.5769         0.1575         0.8667       252.0000         6.5000       473.0513       475.9487
              0         0.3124         0.6430         0.2937         1.0000       253.0000         1.5000       376.4444       468.2222
              1         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       520.5000        97.5000
              2         0.3754         0.5516         0.3038         0.8333       253.0000         7.5000       472.7778       475.5111
              0         0.2679         0.5672         0.1968         0.8889       254.0000         8.0000       473.0000       475.6250
              1         0.3124         0.6430         0.2937         1.0000       253.0000         1.5000       376.2222       468.4444
              0         0.2528         0.8085         0.8222         1.0000       253.0000         3.0000       376.7778       468.0000
              1         0.3459         0.6252         0.3468         0.8500       253.0000         8.5000       472.9020       475.6078
              2         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       520.5000        97.5000
              3         0.4418         0.5390         0.3333         1.0000       252.0000         1.0000       445.0000       467.3333
              0         0.2835         0.5516         0.3038         0.8333       254.0000         7.5000       472.7778       475.5111
              1         0.3859         0.5390         0.6389         0.8000       253.0000         2.0000       376.6667       467.7500
              0         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       632.5000       467.5000
              1         0.3754         0.5516         0.3038         0.8333       253.0000         7.5000       472.7778       475.5111
              2         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       376.7778       468.5556
              0         0.3007         0.7255         0.3191         0.9000       253.0000         9.0000       473.1667       475.8333
              1         0.4778         0.5390         0.6389         0.8000       252.0000         2.0000       376.6667       468.2500
              0         0.3402         0.6449         0.2716         0.8421       253.0000         8.0000       473.0000       475.8125
              1         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       444.5000       467.5000
              2         0.3682         0.5715         0.3696         0.8333       253.0000         2.5000       376.8667       468.3333
              0         0.2442         0.8323         0.4725         1.0000       253.0000         4.5000       376.6296       468.0741
              1         0.3754         0.5516         0.3038         0.8333       253.0000         7.5000       472.7778       475.5111
              0         0.2622         0.8061         0.3894         0.9524       253.0000        10.0000       473.1500       476.0000
              1         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       376.5000       468.5000
              0         0.2926         0.6981         0.2500         1.0000       253.0000         2.0000       377.0000       468.5000
              1         0.3459         0.6252         0.2159         0.8500       253.0000         8.5000       473.0980       475.9216
              0         0.2223         0.6916         0.3113         0.8929       254.0000        12.5000       473.1867       475.5467
              1         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       376.7778       468.4444
              2         0.4617         0.4837         0.0963         1.0000       252.0000         1.5000       632.2222       467.7778
              0         0.2611         0.7854         1.0000         1.0000       253.0000         1.0000       376.5000       468.5000
              1         0.2613         0.6252         0.7685         0.8095       254.0000         8.5000       473.0392       475.4902
              0         0.3124         0.6430         0.2937         1.0000       253.0000         1.5000       444.5556       467.2222
              1         0.3792         0.5529         0.2437         0.8095       253.0000         8.5000       472.9608       475.6863
              2         0.4778         0.5390         0.6389         0.8000       252.0000         2.0000       376.6667       468.2500
              0         0.2007         0.6981         0.2500         1.0000       254.0000         2.0000       377.0000       468.5000
              1         0.3007         0.7255         0.5354         0.9000       253.0000         9.0000       472.8333       475.7222
              0         0.2536         0.8061         0.5336         1.0000       253.0000         2.5000       444.8667       467.1333
              1         0.3007         0.7255         0.2976         0.9000       253.0000         9.0000       473.0000       476.0000
              0         0.3666         0.5516         0.3457         0.8824       253.0000         7.5000       472.8667       475.3556
              1         0.4418         0.5390         0.3333         1.0000       252.0000         2.0000       376.6667       468.3333
              0         0.3859         0.5390         0.3806         0.8000       253.0000         8.0000       472.8333       475.4375
              1         0.3859         0.5390         0.6389         0.8000       253.0000         2.0000       376.6667       468.2500
              2         0.4418         0.5390         0.3333         1.0000       252.0000         1.0000       444.6667       467.0000
              0         0.3124         0.6430         0.2937         1.0000       253.0000         1.5000       376.4444       468.2222
              1         0.3719         0.5529         0.3323         0.8500       253.0000         8.5000       473.1569       475.6667
              0         0.3499         0.5390         0.3333         1.0000       253.0000         1.0000       376.3333       468.0000
              1         0.4471         0.4192         0.5377         0.7000       253.0000         3.5000       472.9048       475.6190
              0         0.3499         0.5390         0.3333         1.0000       253.0000         1.0000       376.3333       468.0000
              1         0.4418         0.5390         0.3333         1.0000       252.0000         1.0000       444.6667       467.0000
              2         0.4727         0.5643         0.3596         0.7778       252.0000         7.0000       473.0000       475.8571
              0         0.3833         0.5516         0.2318         0.7895       253.0000         7.5000       472.9111       476.1778
              1         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       376.7778       468.5556
              0         0.3095         0.6987         0.3204         0.9048       253.0000         9.5000       473.2456       476.2456
              1         0.3845         0.6981         0.2500         1.0000       252.0000         2.0000       377.0000       468.5000
              0         0.2469         0.6288         0.3159         0.8824       254.0000         7.5000       472.7111       475.5556
              1         0.2528         0.8085         0.8222         1.0000       253.0000         3.0000       376.7778       468.0000
              2         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       488.5000         1.5000
              0         0.1609         0.8085         0.8222         1.0000       254.0000         3.0000       376.7778       468.0000
              1         0.3109         0.6474         0.2640         1.0000       253.0000         7.0000       472.7381       475.4762
              2         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       632.7778       467.4444
              3         0.4778         0.5390         0.1775         0.8000       252.0000         2.0000       444.2500       467.0000
              0         0.2611         0.7854         1.0000         1.0000       253.0000         1.0000       376.5000       468.5000
              1         0.2881         0.7398         0.5572         0.9412       253.0000         8.0000       472.6458       475.6875
              0         0.2528         0.8085         0.8222         1.0000       253.0000         3.0000       376.2222       468.0000
              1         0.3477         0.8001         0.6283         1.0000       252.0000         3.5000       444.0952       466.9048
              2         0.3528         0.5643         0.2624         0.9333       253.0000         7.0000       472.8095       475.4286
              0         0.2007         0.6981         0.2500         1.0000       254.0000         2.0000       376.5000       468.0000
              1         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       444.5000       466.5000
              2         0.4711         0.5529         0.3750         0.8095       252.0000         8.5000       472.9608       475.5686
              0         0.3402         0.6449         0.2716         0.8421       253.0000         8.0000       473.1875       476.0000
              1         0.4043         0.6430         0.2937         1.0000       252.0000         1.5000       376.7778       468.5556
              0         0.2940         0.5390         0.6389         0.8000       254.0000         2.0000       376.6667       468.2500
              1         0.3040         0.6664         0.3074         1.0000       253.0000         6.5000       472.8462       475.5641
              0         0.3378         0.6252         0.2465         0.8947       253.0000         8.5000       472.6275       475.3333
              1         0.3530         0.7854         1.0000         1.0000       252.0000         1.0000       422.5000        76.5000
              2         0.3859         0.5390         0.1775         0.8000       253.0000         2.0000       633.0000       468.2500
              3         0.4418         0.5390         0.1459         1.0000       252.0000         2.0000       444.5000       467.5000
              4         0.4418         0.5390         0.3333         1.0000       252.0000         2.0000       376.6667       468.3333
              0         0.2611         0.7854         1.0000         1.0000       253.0000         1.0000       376.5000       468.5000
              1         0.3322         0.6380         0.5720         0.9000       253.0000         4.5000       472.9259       475.8519
