       weights:                   circularity   inertiaRatio      convexity      blobColor           area
        (0-255)                           100            255            100             50             --

      FilterBy:          error    circularity   inertiaRatio      convexity      blobColor           area
                             0              1              1              1              1              1

            min              0          0.000          0.000          0.000        250.000          1.000
            max          0.300          1.100          1.100          1.100        255.000        200.000

       Targets:                   circularity   inertiaRatio      convexity      blobColor           area
                                        1.000          1.000          1.000            255             --

         blobNo     TotalError    circularity   inertiaRatio      convexity      blobColor           area       imageXpt       imageYpt
              0         0.4273         0.6430         0.2937         1.0000       255.0000         3.0000       382.6667       261.7778
              1         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       532.7333       301.4667
              2         0.5302         0.5890         0.1111         1.0000       255.0000         3.0000       277.5000       217.5000
              3         0.5362         0.3429         0.2937         0.7500       255.0000         1.5000       501.2222       159.4444
              4         0.5803         0.2695         0.3333         0.5000       255.0000         1.0000       278.0000       176.3333
              5         0.6419         0.2695         0.1459         0.6667       255.0000         1.0000       637.0000       369.5000
              6         0.6910         0.2798         0.0298         0.7045       255.0000        15.5000       483.8495       147.8817
              7         0.7152         0.1837         0.0145         0.7175       255.0000        63.5000       278.3071       102.4068
              0         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       513.5000       187.5000
              1         0.4787         0.5390         0.3041         0.8182       255.0000         4.5000       277.2222       217.4815
              2         0.4962         0.5639         0.2210         0.9167       255.0000         5.5000       382.2424       261.1818
              3         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       532.7333       301.4667
              4         0.5226         0.5390         0.1459         1.0000       255.0000         1.0000       536.0000       255.5000
              5         0.5226         0.5390         0.1459         1.0000       255.0000         2.0000       636.5000       369.5000
              6         0.6232         0.2774         0.2452         0.5000       255.0000         1.5000       564.2222       289.8889
              7         0.6477         0.2995         0.1392         0.6250       255.0000         2.5000       612.2667       211.5333
              0         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       513.5000       187.5000
              1         0.0821         0.7854         1.0000         1.0000       253.0000         1.0000       535.5000       260.5000
              2         0.2437         0.2695         1.0000         0.5000       255.0000         1.0000       517.5000       189.5000
              3         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       532.7333       301.4667
              4         0.5226         0.5390         0.1459         1.0000       255.0000         1.0000       536.0000       255.5000
              5         0.5226         0.5390         0.1459         1.0000       255.0000         2.0000       636.5000       369.5000
              6         0.5302         0.5890         0.1111         1.0000       255.0000         3.0000       612.5000       211.5000
              7         0.5454         0.5450         0.1719         0.8125       255.0000         6.5000       382.2051       261.2564
              0         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       513.5000       187.5000
              1         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       517.5000       189.5000
              2         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       532.7333       301.4667
              3         0.5226         0.5390         0.1459         1.0000       255.0000         1.0000       536.0000       255.5000
              4         0.5226         0.5390         0.1459         1.0000       255.0000         2.0000       636.5000       369.5000
              5         0.5302         0.5890         0.1111         1.0000       255.0000         3.0000       612.5000       211.5000
              6         0.5454         0.5450         0.1719         0.8125       255.0000         6.5000       382.2051       261.2564
              7         0.5820         0.5390         0.1459         1.0000       252.0000         1.0000       626.5000       203.0000
              0         0.4273         0.6430         0.2937         1.0000       255.0000         1.5000       255.5556       198.7778
              1         0.5195         0.5715         0.1392         1.0000       255.0000         2.5000       532.7333       301.4667
              2         0.5226         0.5390         0.1459         1.0000       255.0000         1.0000       536.0000       255.5000
              3         0.5226         0.5390         0.1459         1.0000       255.0000         2.0000       636.5000       369.5000
              4         0.5454         0.5450         0.1719         0.8125       255.0000         6.5000       382.2051       261.2564
              5         0.5622         0.5390         0.1459         1.0000       253.0000         1.0000       626.5000       203.0000
              6         0.6111         0.1738         0.3013         0.5217       255.0000         6.0000       277.0833       217.5556
              7         0.6400         0.1348         0.3333         0.3333       255.0000         1.0000       253.3333       105.0000
              0         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       513.5000       187.5000
              1         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       517.5000       189.5000
              2         0.3031         0.2695         1.0000         0.5000       252.0000         1.0000       585.5000       269.5000
              3         0.5226         0.5390         0.1459         1.0000       255.0000         1.0000       536.0000       255.5000
              4         0.5226         0.5390         0.1459         1.0000       255.0000         2.0000       255.5000       198.5000
              5         0.5226         0.5390         0.1459         1.0000       255.0000         2.0000       636.5000       369.5000
              6         0.5454         0.5450         0.1719         0.8125       255.0000         6.5000       382.2051       261.2564
              7         0.5896         0.5890         0.1111         1.0000       252.0000         3.0000       500.5000       159.5000
              0         0.0425         0.7854         1.0000         1.0000       255.0000         1.0000       513.5000       187.5000
